|     1        X |    24        E | 1.17468E+08  X | 5.85376E+11    |ELASTIQUE(NOSYM)|     0          | 1.16587E-01    |                | 1.18324E+02    |
|     5          |    10          | 9.86017E-04    | 1.20439E-01    |ELASTIQUE(NOSYM)|     0          | 8.44122E-06    | 6.87934E-03    | 8.59096E-01    |
|     4          |    10          | 2.18459E-05    | 8.00056E-03    |ELASTIQUE(NOSYM)|     0          | 1.87702E-06    | 3.25469E-04    | 2.57733E+00    |
|     6          |    10          | 4.91092E-05    | 2.99410E-02    |ELASTIQUE(NOSYM)|     0          | 5.51557E-05    | 2.11888E-03    | 4.29558E+00    |
|     5          |    10          | 1.13179E-04    | 9.65640E-02    |ELASTIQUE(NOSYM)|     0          | 4.82370E-05    | 4.09478E-03    | 6.01375E+00    |
|     1        X |    24        E | 9.98546E+06  X | 5.69698E+14    |ELASTIQUE(NOSYM)|     0          | 3.75034E-01    |                | 6.86714E+02    |
|     5          |    10          | 3.69049E-06    | 3.59737E-03    |ELASTIQUE(NOSYM)|     0          | 4.00808E-06    | 7.49771E-03    | 6.87284E+00    |
|     5          |    10          | 1.35471E-06    | 1.64931E-03    |ELASTIQUE(NOSYM)|     0          | 2.47192E-06    | 1.41140E-03    | 8.59111E+00    |
|     6          |    10          | 2.42129E-06    | 3.53431E-03    |ELASTIQUE(NOSYM)|     0          | 2.09543E-06    | 2.44033E-03    | 1.03093E+01    |
|     5          |    10          | 1.01593E-06    | 1.72883E-03    |ELASTIQUE(NOSYM)|     0          | 1.90120E-06    | 4.67515E-03    | 1.20276E+01    |
|     1        X |    24        E | 4.55286E+06  X | 1.13613E+10    |TANGENTE (NOSYM)|     0          | 2.40373E-03    |                | 5.14082E+01    |
|     5          |    10          | 3.07641E-06    | 5.60675E-03    |ELASTIQUE(NOSYM)|     0          | 5.36898E-06    | 8.88075E-04    | 1.28867E+01    |
|     5          |    10          | 5.03103E-07    | 1.03835E-03    |ELASTIQUE(NOSYM)|     0          | 9.72339E-07    | 2.20713E-04    | 1.46049E+01    |
|     6          |    10          | 1.09644E-06    | 2.52712E-03    |ELASTIQUE(NOSYM)|     0          | 2.55857E-06    | 1.09536E-04    | 1.63232E+01    |
|     6          |    10          | 2.09656E-07    | 5.33645E-04    |ELASTIQUE(NOSYM)|     0          | 3.93885E-07    | 1.65931E-03    | 1.80414E+01    |
|     1        X |    24        E | 2.32072E+04  X | 7.67511E+07    |TANGENTE (NOSYM)|     0          | 6.14836E-02    |                | 2.49684E+01    |
|     5          |    10          | 1.88592E-07    | 5.02694E-04    |ELASTIQUE(NOSYM)|     0          | 2.64041E-06    | 1.51984E-03    | 1.89005E+01    |
|     6          |    10          | 1.74019E-06    | 5.05591E-03    |ELASTIQUE(NOSYM)|     0          | 3.15657E-06    | 2.26563E-03    | 2.06188E+01    |
|     5          |    10          | 2.21307E-07    | 6.95991E-04    |ELASTIQUE(NOSYM)|     0          | 5.73207E-07    | 9.26740E-03    | 2.23370E+01    |
|     5          |    10          | 2.57851E-04    | 8.72561E-01    |ELASTIQUE(NOSYM)|     0          | 9.03209E-04    | 8.66215E-03    | 2.40553E+01    |
|     1        X |    24        E | 2.46414E+07  X | 9.68285E+14    |TANGENTE (NOSYM)|     0          | 1.69916E-01    |                | 2.09097E+03    |
|     5          |    10          | 9.49621E-07    | 3.32685E-03    |ELASTIQUE(NOSYM)|     0          | 2.76622E-06    | 1.09452E-03    | 2.49145E+01    |
|     5          |    10          | 1.21659E-06    | 4.55217E-03    |ELASTIQUE(NOSYM)|     0          | 1.37332E-05    | 9.14933E-03    | 2.66327E+01    |
|     4          |    10          | 2.02738E-04    | 8.06843E-01    |ELASTIQUE(NOSYM)|     0          | 1.81729E-03    | 8.31750E-03    | 2.83510E+01    |
